name,metal,date_added,url,rating,edition,authors,artists,pages,price,ratings_count,setting
PHBR4 The Complete Wizard's Handbook (2e),Platinum seller,4/2/2013,https://www.dmsguild.com/product/16889/PHBR4-The-Complete-Wizards-Handbook-2e?filters=45471_0_0_0_0_0_0_0,4.4,2nd Edition,['Rick Swan'],[],128,9.99,13,No Setting
PHBR8 The Complete Book of Elves (2e),Platinum seller,5/14/2013,https://www.dmsguild.com/product/16896/PHBR8-The-Complete-Book-of-Elves-2e?filters=45471_0_0_0_0_0_0_0,4.5,2nd Edition,['Colin McComb'],[],128,9.99,13,No Setting
DL10 Dragons of Dreams (1e),Gold seller,7/8/2014,https://www.dmsguild.com/product/16913/DL10-Dragons-of-Dreams-1e?filters=45471_0_0_0_0_0_0_0,4.4,1st Edition,['Tracy Hickman'],"['Clyde Caldwell', 'Diana Magnuson']",40,4.99,5,Dragonlance
DL11 Dragons of Glory (1e),Gold seller,7/15/2014,https://www.dmsguild.com/product/16917/DL11-Dragons-of-Glory-1e?filters=45471_0_0_0_0_0_0_0,4.3,1st Edition,"['Tracy Hickman', 'Douglas Niles']","['Jeff Easley', 'Jeff Butler Diana Magnuson']",24,4.99,7,Dragonlance
DMGR7 The Complete Book of Necromancers (2e),Platinum seller,6/18/2013,https://www.dmsguild.com/product/16942/DMGR7-The-Complete-Book-of-Necromancers-2e?filters=45471_0_0_0_0_0_0_0,4.8,2nd Edition,['Steve Kurtz'],"['Karl Waller', 'Brom', 'Jeff Easly', 'John & Laura Lakey', 'and Robh Ruppel']",128,5.99,18,No Setting
Battlesystem Miniatures Rules (2e),Gold seller,5/10/2016,https://www.dmsguild.com/product/16943/Battlesystem-Miniatures-Rules-2e?filters=45471_0_0_0_0_0_0_0,4.4,2nd Edition,"['Douglas Niles', 'Steve Winter']","['Jeff Easley', 'Dennis Kauth', 'Keith Parkinson', 'David C. Sutherland III', 'Stephanie Tabat', 'Glen Tarnowski']",128,4.99,12,No Setting
AC2 Combat Shield and Mini-Adventure (Basic),Gold seller,1/31/2017,https://www.dmsguild.com/product/16968/AC2-Combat-Shield-and-MiniAdventure-Basic?filters=45471_0_0_0_0_0_0_0,4.1,Basic/Expert,['Dave Cook'],['Jeff Easley'],14,,12,Known World
HWR2 Kingdom of Nithia (Basic),Gold seller,9/5/2017,https://www.dmsguild.com/product/16985/HWR2-Kingdom-of-Nithia-Basic?filters=45471_0_0_0_0_0_0_0,4.2,Basic/Expert,"['Blake Mobley', 'Newton Ewell']","['Fred Fields', 'Karl Waller']",96,4.99,11,Known World
Wreck Ashore (3.5),Electrum seller,1/12/2016,https://www.dmsguild.com/product/170092/Wreck-Ashore-35?filters=45471_0_0_0_0_0_0_0,4.8,3rd Edition (d20 System),['Robert Wiese'],"['Cynthia Fliege', 'Todd Gamble', 'Sean Glenn']",11,,6,No Setting
I13 Adventure Pack I (1e),Gold seller,11/4/2014,https://www.dmsguild.com/product/17021/I13-Adventure-Pack-I-1e?filters=45471_0_0_0_0_0_0_0,4.6,1st Edition,"['Scott Bennie', 'Anne Brown', 'Deborah Christian', 'Jennell Jaquays', 'Harold Johnson', 'Anne Gray McCready', 'Steve Perrin', 'Warren Spector', 'Rick Swan', 'Ray Winninger', 'Allen Varney']","['Jeff Easley', 'Jeff Butler', 'Valerie Valusek']",96,4.99,18,No Setting
X7 The War Rafts of Kron (Basic),Platinum seller,9/10/2013,https://www.dmsguild.com/product/17099/X7-The-War-Rafts-of-Kron-Basic?filters=45471_0_0_0_0_0_0_0,4.5,Basic/Expert,['Bruce Nesmith'],"['Larry Elmore', 'Jeff Butler']",32,4.99,18,Known World
CM1 Test of the Warlords (Basic),Platinum seller,7/2/2013,https://www.dmsguild.com/product/17114/CM1-Test-of-the-Warlords-Basic?filters=45471_0_0_0_0_0_0_0,4.6,Basic/Expert,['Douglas Niles'],"['Clyde Caldwell', 'Jeff Easley']",32,4.99,18,Known World
M3 Twilight Calling (Basic),Gold seller,9/27/2016,https://www.dmsguild.com/product/17127/M3-Twilight-Calling-Basic?filters=45471_0_0_0_0_0_0_0,4.5,Basic/Expert,['Tom Moldvay'],"['Ben Otero', 'Larry Elmore']",32,4.99,2,Known World
CM8 The Endless Stair (Basic),Gold seller,8/20/2013,https://www.dmsguild.com/product/17133/CM8-The-Endless-Stair-Basic?filters=45471_0_0_0_0_0_0_0,4.5,Basic/Expert,['Ed Greenwood'],"['Jack Fred', 'Graham Nolan']",32,4.99,13,Known World
M5 Talons of Night (Basic),Gold seller,9/27/2016,https://www.dmsguild.com/product/17138/M5-Talons-of-Night-Basic?filters=45471_0_0_0_0_0_0_0,5,Basic/Expert,['Jennell Jaquays'],"['Jennell Jaquays', 'Daniel Horne']",48,4.99,7,Known World
